"plot_name"	"MAT_wc"	"MAT_pred"	"MinT_wc"	"MinT_pred"	"MaxT_wc"	"MaxT_pred"	"MAP_wc"	"MAP_pred"	"wbalann_wc"	"wbalann_pred"	"winterlen_wc"	"winterlen_pred"	"NA"	"NA"
"115"	"CHU10"	62	137.391548607719	-93	-10.7166585246702	256	317.196873473375	474	278.347337567172	-35.7653073150346	-480.025059701069	6	2.06936980947729	124	73.7239863214461
"116"	"CHU2"	62	80.5664386907669	-93	-71.8128969223253	256	256.936003908158	474	587.95261358085	-35.7653073150346	57.8915887243204	6	5.95603321934539	124	75.4152418172936
"117"	"CHU4"	150	135.161211529067	-42	-22.3136297020029	370	330.641914997557	177	232.569125549585	-677.922521360441	-504.133368874196	2	2.05471421592574	53	46.2410845139228
"118"	"CHU5"	150	153.391792867612	-42	-5.766731802638	370	381.8104543234	177	201.247191011236	-677.922521360441	-763.297692485307	2	2.01660967269174	53	34.8251099169516
"119"	"CHU8C2"	62	108.591108939912	-93	-79.7327796775769	256	254.808011724475	474	610.841719589643	-35.7653073150346	121.175900303778	6	5.96775769418661	124	69.0730337078652
"120"	"CHU9"	62	102.966780654617	-93	-78.7427943331705	256	255.678553981436	474	592.771372740596	-35.7653073150346	656.079010082527	6	5.97361993160723	124	74.5696140693698
"121"	"NANK10"	95	120.673180263801	-75	-35.4738641914998	300	282.95554469956	321	569.882266731803	-298.012932276587	-41.5551866148271	5	2.88128969223254	90	73.3011724474841
"122"	"NANK7A"	95	49.0561797752809	-75	-69.4748412310699	300	249.681485100147	321	639.754274548119	-298.012932276587	112.135284363855	5	5.97655105031754	90	83.4487054225696
"123"	"NANK9B"	95	87.6492427943331	-75	-79.6751343429409	300	254.130923302394	321	615.660478749389	-298.012932276587	637.997778202682	5	5.93551538837323	90	68.2274059599414
"124"	"NANK9C"	95	50.228627259404	-75	-91.7171470444555	300	250.938935026869	321	630.116756228627	-298.012932276587	119.669130980458	5	5.98241328773815	90	81.3346360527601
"125"	"SU1"	107	124.244259892525	-68	-29.2454811919882	314	297.754763067904	297	275.937957987298	-361.518564048529	-455.916750527942	4	2.1133365901319	87	77.1064973131412
"126"	"ER2(1)"	112	88.819247679531	-54	-80.938690766976	315	290.123595505618	214	274.733268197362	-465.645476925122	-332.361666015668	3	3.99511480214948	51	70.4770395701026
"127"	"ER2(2)"	112	95.0852467024915	-54	-79.2122618466047	315	291.775280898876	214	269.914509037616	-465.645476925122	-348.936128572193	3	3.99511480214949	51	71.26209086468
"128"	"ER2(3)"	112	73.8299951148021	-54	-84.3915486077186	315	282.337078651685	214	284.370786516854	-465.645476925122	-300.719510225939	3	5.97655105031754	51	73.6172447484123
"129"	"ER2(5)"	112	74.4443087445042	-54	-82.6651196873474	315	285.758426966292	214	318.102100635076	-465.645476925122	-309.760126165861	3	5.97361993160723	51	75.9723986321446
"130"	"ER2(7)"	112	71.9870542256962	-54	-79.0683927699071	315	280.449438202247	214	292.803615046409	-465.645476925122	-278.117970376133	3	5.98534440644846	51	56.3461162677089
"131"	"ER2(9)"	112	61.1751343429409	-54	-82.9528578407426	315	281.393258426966	214	301.236443575964	-465.645476925122	-284.145047669415	3	5.98534440644846	51	74.7948216902785
"132"	"ER3(6)"	112	80.9560332193454	-54	-83.0967269174402	315	280.803370786516	214	266.300439667806	-465.645476925122	-302.22627954926	3	3.99804592085979	51	59.8788470933073
"133"	"ER3(8)2"	112	80.4645823155838	-54	-83.6722032242305	315	280.213483146068	214	268.709819247679	-465.645476925122	-320.307511429104	3	3.99804592085979	51	64.9816805080606
"134"	"ER3MOD"	112	108.723009281876	-54	-83.5283341475329	315	282.691011235955	214	262.686370297998	-465.645476925122	-365.510591128717	3	3.99218368343918	51	63.019052271617
"135"	"EV1"	127	158.851001465559	-65	-1.96946751343427	348	404.325842696629	128	120.240595994137	-618.370063087467	-799.460156244997	3	2.01367855398144	30	22.9814362481681
"136"	"EV2A"	127	159.956765999023	-65	7.26941866145581	348	404.561797752809	128	123.650219833904	-618.370063087467	-1099.30725158576	3	2.02833414753297	30	20.233756717147
"137"	"EV2B"	127	154.919394235466	-65	4.23790913532002	348	394.179775280899	128	133.8790913532	-618.370063087467	-796.446617598357	3	2.03126526624329	30	22.5889106008794
"138"	"EV2C"	127	160.816805080606	-65	-1.10332193453831	348	392.52808988764	128	124.786761113826	-618.370063087467	-787.406001658434	3	2.01660967269174	30	25.7291157791891
"139"	"EV4(1)"	127	152.093551538838	-65	-1.39203712750364	348	383.443820224719	128	162.292623351246	-618.370063087467	-758.777384515346	3	2.03419638495359	30	30.8319491939424
"140"	"EV4(2)"	127	154.182217879824	-65	-3.41304347826085	348	392.64606741573	128	145.244504152418	-618.370063087467	-787.406001658434	3	2.00781631656083	30	29.6543722520763
"141"	"EV4(3)"	127	160.448216902785	-65	-2.54689789936489	348	390.758426966293	128	130.469467513434	-618.370063087467	-794.939848275037	3	2.01074743527113	30	30.046897899365
"142"	"EV5A"	127	132.804103566194	-65	-62.7440156326331	348	327.168539325843	128	210.027357107963	-618.370063087467	-475.504751731107	3	2.51196873473376	30	36.7198339032731
